year,month,day
1970,5,20
1970,6,17
1970,7,15
1970,8,12
1970,9,9
1970,10,14
1970,11,11
1970,12,9
1971,1,12
1971,2,3
1971,3,9
1971,4,6
1971,5,5
1971,6,2
1971,7,21
1971,8,18
1971,9,15
1971,10,13
1971,11,10
1971,12,8
1972,2,9
1972,3,15
1972,4,12
1972,5,17
1972,6,14
1972,7,18
1972,8,9
1972,9,13
1972,10,11
1972,11,14
1972,12,19
1973,1,10
1973,2,7
1973,3,14
1973,4,11
1973,5,9
1973,6,13
1973,7,11
1973,8,10
1973,9,12
1973,10,10
1973,11,14
1973,12,12
1974,1,16
1974,2,13
1974,3,13
1974,4,10
1974,5,15
1974,6,12
1974,7,10
1974,8,14
1974,9,5
1974,10,9
1974,11,13
1974,12,11
1975,1,15
1975,2,12
1975,3,12
1975,4,9
1975,5,14
1975,6,11
1975,7,9
1975,8,13
1975,9,10
1975,10,21
1975,11,12
1975,12,10
1976,1,14
1976,2,11
1976,3,10
1976,4,14
1976,5,12
1976,6,16
1976,7,14
1976,8,11
1976,9,15
1976,10,13
1976,11,10
1976,12,15
1977,1,13
1977,2,9
1977,3,9
1977,4,12
1977,5,10
1977,6,15
1977,7,13
1977,8,10
1977,9,14
1977,10,11
1977,11,9
1977,12,14
1978,1,11
1978,2,21
1978,3,15
1978,4,12
1978,5,10
1978,6,14
1978,7,12
1978,8,9
1978,9,13
1978,10,11
1978,11,15
1978,12,13
1979,1,31
1979,3,14
1979,4,11
1979,5,16
1979,7,5
1979,8,7
1979,9,12
1979,10,10
1979,11,14
1980,1,29
1980,3,11
1980,4,15
1980,5,14
1980,7,1
1980,8,5
1980,9,9
1980,10,14
1980,11,12
1980,12,10
1981,1,28
1981,3,25
1981,5,13
1981,6,30
1981,8,11
1981,9,30
1981,11,10
1981,12,16
1982,1,27
1982,3,23
1982,5,12
1982,6,23
1982,8,18
1982,9,29
1982,11,16
1982,12,15
1983,2,2
1983,3,23
1983,5,18
1983,7,1
1983,8,10
1983,9,20
1983,11,2
1983,12,6
1984,1,20
1984,3,13
1984,5,8
1984,6,25
1984,8,6
1984,9,16
1984,10,23
1984,12,5
1985,1,30
1985,3,12
1985,5,6
1985,6,25
1985,8,6
1985,9,16
1985,10,23
1985,12,5
1986,1,28
1986,3,20
1986,5,6
1986,6,24
1986,8,5
1986,9,10
1986,10,23
1986,12,1
1987,1,28
1987,3,16
1987,5,4
1987,6,23
1987,8,3
1987,9,8
1987,10,27
1987,12,1
1988,1,27
1988,3,15
1988,5,4
1988,6,15
1988,8,2
1988,9,6
1988,10,18
1988,11,30
1989,1,25
1989,3,15
1989,5,3
1989,6,21
1989,8,9
1989,9,20
1989,11,1
1989,12,6
1990,1,24
1990,3,14
1990,5,2
1990,6,20
1990,8,8
1990,9,19
1990,10,31
1990,12,5
1991,1,23
1991,3,13
1991,5,1
1991,6,19
1991,8,7
1991,9,18
1991,10,23
1991,12,4
1992,1,22
1992,3,18
1992,5,6
1992,6,17
1992,8,5
1992,9,23
1992,11,4
1992,12,9
1993,1,21
1993,3,10
1993,5,5
1993,6,23
1993,8,4
1993,9,8
1993,11,3
1993,12,8
1994,1,19
1994,3,9
1994,5,4
1994,6,22
1994,8,3
1994,9,14
1994,11,2
1994,12,7
1995,1,18
1995,3,15
1995,5,10
1995,6,21
1995,8,9
1995,9,13
1995,11,1
1995,12,6
1996,1,17
1996,3,13
1996,5,8
1996,6,19
1996,8,7
1996,9,11
1996,10,30
1996,12,4
1997,1,22
1997,3,12
1997,5,7
1997,6,18
1997,8,6
1997,9,17
1997,10,29
1997,12,3
1998,1,21
1998,3,18
1998,5,6
1998,6,17
1998,8,5
1998,9,16
1998,11,4
1998,12,9
1999,1,20
1999,3,17
1999,5,5
1999,6,16
1999,8,11
1999,9,22
1999,11,3
1999,12,8
2000,1,19
2000,3,8
2000,5,3
2000,6,14
2000,8,9
2000,9,20
2000,11,1
2000,12,6
2001,1,17
2001,3,7
2001,5,2
2001,6,13
2001,8,8
2001,9,19
2001,10,24
2001,11,28
2002,1,16
2002,3,6
2002,4,24
2002,6,12
2002,7,31
2002,9,11
2002,10,23
2002,11,27
2003,1,15
2003,3,5
2003,4,23
2003,6,11
2003,7,30
2003,9,3
2003,10,15
2003,11,26
2004,1,14
2004,3,3
2004,4,21
2004,6,16
2004,7,28
2004,9,8
2004,10,27
2004,12,1
2005,1,19
2005,3,9
2005,4,20
2005,6,15
2005,7,27
2005,9,7
2005,10,19
2005,11,30
2006,1,18
2006,3,15
2006,4,26
2006,6,14
2006,7,26
2006,9,6
2006,10,12
2006,11,29
2007,1,17
2007,3,7
2007,4,25
2007,6,13
2007,7,25
2007,9,5
2007,10,17
2007,11,28
2008,1,16
2008,3,5
2008,4,16
2008,6,11
2008,7,23
2008,9,3
2008,10,15
2008,12,3
2009,1,14
2009,3,4
2009,4,15
2009,6,10
2009,7,29
2009,9,9
2009,10,2
2009,12,2
2010,1,13
2010,3,3
2010,4,14
2010,6,9
2010,7,28
2010,9,8
2010,10,20
2010,12,1
2011,1,12
2011,3,2
2011,4,13
2011,6,8
2011,7,27
2011,9,7
2011,10,19
2011,11,30
2012,1,11
2012,2,29
2012,4,11
2012,6,6
2012,7,18
2012,8,29
2012,10,10
2012,11,28
2013,1,16
2013,3,6
2013,4,17
2013,6,5
2013,7,17
2013,9,4
2013,10,16
2013,12,4
2014,1,15
2014,3,5
2014,4,16
2014,6,4
2014,7,16
2014,9,3
2014,10,15
2014,12,3
2015,1,14
2015,3,4
2015,4,15
2015,6,3
2015,7,15
2015,9,2
2015,10,14
2015,12,2
2016,1,13
2016,3,2
2016,4,13
2016,6,1
2016,7,13
2016,9,7
2016,10,19
2016,11,30
2017,1,18
2017,3,1
2017,4,19
2017,5,31
2017,7,12
2017,9,6
2017,10,18
2017,11,29
2018,1,17
2018,3,7
2018,4,18
2018,5,30
2018,7,18
2018,9,12
2018,10,24
2018,12,5
2019,1,16
2019,3,6
2019,4,17
2019,6,5
2019,7,17
2019,9,4
2019,10,16
2019,11,27
2020,1,15
2020,3,4
2020,4,15
2020,5,27
